Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Lunchmoney,"Lower Capitalist Crag > Capitalist Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105756478/lunchmoney,3.1,-1,Sport,5.9+,1,100,39.73948,-105.32756
"Slip 'n Slide","Lower Elbow Room > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105900092/slip-n-slide,3.5,-1,Sport,5.9,1,115,37.52328,-118.57385
"Red Rider","Central (Blooming Rose, Claim Jumper, and Winchester Walls) > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841386/red-rider,3.1,-1,Sport,5.10a,1,65,42.57351,-108.71509
"Insane Hound Posse","Wall of Denial > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106199504/insane-hound-posse,3.2,-1,Sport,5.10b,1,80,44.09938,-107.28902
"Brown Eyed Girl","Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106065316/brown-eyed-girl,3.1,-1,Sport,5.10a,1,70,37.65078,-83.72161
"Sunset Slab","(7) Flounder and Cod Rock > (m) Smith Rock Group > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105820884/sunset-slab,3.1,-1,Sport,5.9,1,75,44.36266,-121.14949
"Ugly, Fat, Mean, Come to Mammoth, Be a Queen","Area 13 - Left Side > Area 13 > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/105877553/ugly-fat-mean-come-to-mammoth-be-a-queen,3.1,-1,Sport,5.7,1,,37.78854,-118.91226
"Geisha Girl","Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106138127/geisha-girl,3.1,-1,Sport,5.8,1,95,38.10049,-81.09596
"Key Lime Sky","Oxygen Wall > Right Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/106440060/key-lime-sky,3.1,-1,Sport,5.8,1,110,39.5615,-111.6892
"Tower Route","Y-Crack Wall > Necedah (Petenwell Bluff) > Wisconsin",https://www.mountainproject.com/route/105731039/tower-route,3.1,-1,Sport,5.10a,1,50,44.0442,-90.01955
